"발생일시","관할해경서","발생해역","발생유형","발생원인","기상특보","사고선박수","구조인원","부상인원","사망인원","실종인원","사고위치","위도","경도","선종1","톤수1","선종2","톤수2","선종3","톤수3"
"2011-12-21 18:50","제주","영해","좌초","운항부주의","양호","1","11","0","0","0","33-25N, 126-13.40E(비양도 등대 앞)","33|25|00","126|13|40","어선","29",,,,
"2011-12-21 18:35","인천","협수로","기관고장","정비불량","태풍주의보","1","3","0","0","0","묵통도 근해상","37|16|00","126|16|00","유도선","20",,,,
"2011-12-21 16:14","울산","영해","충돌","운항부주의","황천5급","2","52","0","0","0","울산 주전동방 9마일","35|33|30","129|38|40","어선","27","화물선","37000",,
"2011-12-21 13:40","부산","영해","기관고장","정비불량","양호","1","1","0","0","0","송정항 구등대 북서방 500미터 해상","35|10|35","129|12|80","어선","1.16",,,,
"2011-12-21 09:10","부산","영해","기관고장","정비불량","양호","1","1","0","0","0","송정 죽도공원 남서방 1,000미터","35|10|20","129|12|10","어선","1.16",,,,
"2011-12-20 20:30","통영","항계내","좌초","기타","양호","1","4","0","0","0","사천시 장구도 부근 모살여 해상","34|54|57","128|03|67","기타","4",,,,
"2011-12-20 19:03","통영","항계내","좌초","운항부주의","양호","1","3","3","0","0","진해구 속천동 소재 도투마리암","35|05|84","128|40|65","어선","2.09",,,,
"2011-12-20 17:15","목포","영해","추진기장애","운항부주의","양호","1","6","0","0","0","전남 신안군 송이도 북동 4.5마일 해상","35|19|00","126|13|00","어선","12",,,,
"2011-12-20 17:08","포항","영해-EEZ","화재","정비불량","양호","1","7","0","0","0","강구 동방 30마일","36|18|00","130|01|00","어선","48",,,,
"2011-12-20 14:40","통영","항계내","기관고장","정비불량","양호","1","1","0","0","0","거가대교 인근해상","35|01|13","128|43|57","어선","0.8",,,,
"2011-12-20 11:05","목포","영해","기관고장","관리소홀","양호","1","3","0","0","0","전남 진도군 조도면 병풍도 남방 2.5마일 해상","34|06|00","125|56|00","어선","7.93",,,,
"2011-12-20 05:27","동해","영해","화재","기타","양호","1","3","0","0","0","삼척시 삼척항 동방 약 10마일","37|32|00","129|21|00","어선","7.93",,,,
"2011-12-19 11:20","부산","항계내","기타","운항부주의","양호","2","18","0","0","0","남외항 N-4 묘박지(35-02.28N 129-02.92E)","35 |02|28","129|02|92","화물선","10360","어선","81",,
"2011-12-19 06:15","제주","영해","추진기장애","정비불량","양호","1","13","0","0","0","33-31N, 125-42E(차귀도 북서방 25마일)","33|31|00","125|42|00","어선","29",,,,
"2011-12-18 15:16","포항","영해","충돌","운항부주의","양호","1","12","0","0","0","감포 동방 10마일","35|48|00","129|43|00","어선","29",,,,
"2011-12-18 11:55","통영","항계내","기관고장","운항부주의","양호","1","1","0","0","0","죽암도 남동방 0.7마일 해상","34|41|43","128|04|50","어선","3.5",,,,
"2011-12-18 03:35","여수","항계내","기관고장","관리소홀","양호","1","2","0","0","0","여수시 돌산도 우두리 하멜 등대 앞 해상","34|43|33","127|46|56","어선","2.97",,,,
"2011-12-17 15:40","통영","항계내","추진기장애","운항부주의","양호","1","3","0","0","0","잠도 남서방 0.9마일 해상","35|02|37","128|39|50","어선","2.32",,,,
"2011-12-16 14:18","통영","항계내","침수","관리소홀","황천5급","1","2","0","0","0","남해군 상주면 금포해상앞","34|41|50","128|02|07","어선","2.76",,,,
"2011-12-16 07:55","부산","영해-EEZ","기타","운항부주의","양호","2","28","0","0","0","홍도동방 8.5M 해상(34-31N 128-54E)","34|31|00","128|54|00","어선","29","화물선","36704",,
"2011-12-15 09:30","포항","영해","전복","운항부주의","황천5급","1","5","0","0","0","강사 동방 7.7","36|03|00","123|44|00","어선","5.27",,,,
"2011-12-15 06:20","울산","영해-EEZ","기관고장","정비불량","황천5급","1","6","0","0","0","주전 동방 25마일","35|32|00","129|58|00","어선","29",,,,
"2011-12-15 06:20","부산","항계내","기타","기타","양호","2","10","0","0","0","남항 공동어시장 1번돌체","35|05|40","129|01|65","어선","57","어선","5.94",,
"2011-12-15 05:50","울산","영해-EEZ","기관고장","정비불량","양호","1","4","0","0","0","울산 북구 정자 동방 30마일","35|38|00","130|00|00","어선","25",,,,
"2011-12-14 21:30","통영","영해","기타","운항부주의","양호","2","9","0","0","0","통영시 태도(이끼섬) 남서방 약 1마일해상","34|49|00","128|18|00","어선","9.77","어선","1.54",,
"2011-12-14 17:50","평택","영해","기관고장","정비불량","양호","1","1","0","0","0","풍도 난지도 인근해상","37|05|28","126|24|45","어선","7.9",,,,
"2011-12-14 15:00","서귀포","영해-EEZ","기관고장","정비불량","양호","1","9","0","0","0","제주 우도 남서방 18마일","33|18|00","127|15|00","어선","29",,,,
"2011-12-14 14:03","동해","항계내","침수","기타","양호","1","4","0","0","0","장호항내","37|17|16","129|18|57","어선","9.16",,,,
"2011-12-14 09:50","태안","영해","추진기장애","운항부주의","양호","1","1","0","0","0","호도 북서방 5마일 해상","36|21|0","126|09|0","어선","7.93",,,,
"2011-12-14 09:40","태안","영해","기관고장","정비불량","양호","1","2","0","0","0","울미도 인근 해상","36|36|0","126|10|0","어선","1.55",,,,
"2011-12-14 09:06","목포","항계내","좌초","운항부주의","양호","1","4","0","0","0","전남 목포시 서산동 수협위판장 앞 해상","34|46|00","126|22|00","어선","7.93",,,,
"2011-12-14 06:26","통영","영해-EEZ","충돌","운항부주의","양호","2","46","0","0","0","남해군 미조 백서 남동방 4.5마일 해상","34|33|16","128|01|30","화물선","64845","화물선","77458",,
"2011-12-14 03:50","목포","영해","기관고장","관리소홀","양호","1","9","0","0","0","전남 신안군 흑산면 하태도 남방 6마일 해상","34|16|00","125|18|00","어선","69",,,,
"2011-12-13 16:30","제주","영해","충돌","운항부주의","양호","1","2","0","0","0","33-42N, 126-20E(제주관탈서방 1마일)","33|42|00","126|20|00","어선","6.67",,,,
"2011-12-12 08:57","통영","항계내","타기고장","정비불량","양호","1","2","0","0","0","욕지 두미도 등대 앞 해상","34|42|97","128|09|78","어선","2.99",,,,
"2011-12-11 21:40","울산","영해","충돌","운항부주의","양호","2","13","0","0","0","대변동방 6마일 해상","35|14|00","129|21|00","어선","75","화물선","998",,
"2011-12-11 10:30","동해","영해","기관고장","기타","양호","1","2","0","0","0","강원도 삼척시 임원 남동방 약 14마일","00|00|00","000|00|00","어선","6.15",,,,
"2011-12-11 01:40","포항","영해-EEZ","충돌","운항부주의","양호","2","19","0","0","0","감포 동방 66마일","35|49|30","130|52|00","어선","29","화물선","1240",,
"2011-12-10 15:00","서귀포","공해","기관고장","정비불량","황천4급","1","10","0","0","0","서귀포 남서 345마일","28|00|00","123|40|00","어선","29",,,,
"2011-12-10 12:26","통영","항계내","추진기장애","운항부주의","양호","1","2","0","0","0","통영시 산양읍 곤리도 앞 해상","34|47|02","128|21|77","어선","2.7",,,,
"2011-12-10 07:30","서귀포","공해","기관고장","정비불량","황천4급","1","9","0","0","0","서귀포 남서 350마일","27|53|00","123|53|00","어선","29",,,,
"2011-12-10 05:30","목포","EEZ 30마일 이내","추진기장애","운항부주의","양호","1","10","0","0","0","전남 신안군 흑산면 가거도 남서 45마일","33|24|00","124|37|00","어선","79",,,,
"2011-12-09 04:25","부산","영해","화재","정비불량","풍랑주의보","1","4","0","0","0","남형제도 서방 3마일(34-53N 128-53E)","34|53|00","128|53|00","유조선","190",,,,
"2011-12-08 20:44","목포","영해","좌초","운항부주의","황천5급","1","3","0","0","0","전남 해남군 임하도 남방 2마일","34|34|59","126|17|17","예부선","67",,,,
"2011-12-08 16:12","울산","항계내","충돌","운항부주의","황천5급","2","37","0","0","0","울산항 E-3묘지","35|25|00","129|26|65","화물선","3851","화물선","14868",,
"2011-12-08 10:35","포항","영해","침수","적재불량","양호","1","0","0","0","0","구룡포읍 소재 활어위판장 부두 앞 10미터","35|59|25","129|33|24","어선","99",,,,
"2011-12-08 06:29","부산","영해","기관고장","정비불량","양호","1","3","0","0","0","수영만 남동방 7마일","35|06|43","129|18|53","어선","7.93",,,,
"2011-12-08 02:45","포항","영해","좌초","운항부주의","양호","1","7","0","0","0","호미곶 남동방 10마일","35|54|58","129|31|79","어선","22",,,,
"2011-12-08 02:16","동해","영해-EEZ","화재","기타","황천4급","1","8","0","0","0","독도동방21마일","37|11|00","132|18|00","어선","46",,,,
"2011-12-07 17:40","통영","항계내","기관고장","정비불량","양호","1","2","0","0","0","통영시 사량면 사량도 상도 서방 농개도-돈지포 해상","34|50|18","128|10|03","어선","2.99",,,,
"2011-12-07 07:10","부산","항계내","기타","운항부주의","양호","2","11","0","0","0","영도대교 소형선박 출입항로(영도대교 공사현장)","35|05|70","129|02|20","기타","70","기타","228",,
"2011-12-06 20:45","목포","협수로","추진기장애","운항부주의","양호","1","3","0","0","0","전남 신안군 임자면 대허사도 남동 1.4마일","35|05|00","125|55|00","어선","46",,,,
"2011-12-06 16:00","평택","영해","기관고장","정비불량","양호","1","6","0","0","0","충남 당진군 석문면 교로리 당진화력 북서방","37|03|7","126|28|95","모터보트","1.3",,,,
"2011-12-06 07:07","목포","협수로","침수","기타","양호","1","2","0","0","0","전남 신안군 불무기도 북동방 1마일","34|46|00","126|14|00","어선","4.97",,,,
"2011-12-06 01:40","여수","영해","충돌","운항부주의","양호","2","21","4","0","0","여수시 삼산면 백도 남방","33|47|00","127|36|00","어선","79","화물선","1178",,
"2011-12-05 20:05","목포","영해","전복","적재불량","양호","1","4","0","1","3","전남 신안군 만재도 북동 4.7마일","34|17|00","125|30|00","어선","9.77",,,,
"2011-12-05 06:50","동해","영해","기관고장","기타","양호","1","1","0","0","0","동해항 동방 12마일","37|32|00","129|24|00","어선","3.59",,,,
"2011-12-05 06:50","동해","영해","기관고장","기타","양호","1","1","0","0","0","강원도 삼척시 임원항 남동방 약 6마일","00|00|00","000|00|00","어선","3.59",,,,
"2011-12-05 05:45","부산","영해","기타","운항부주의","양호","2","20","0","0","0","부산 생도 남방 2.7마일(34-59.34N 129-06.00E)","34|59|34","129|06|00","화물선","3026","어선","29",,
"2011-12-04 23:30","목포","영해-EEZ","기관고장","관리소홀","양호","1","10","0","0","0","전남 신안군 흑산면 가거도 남서 10마일","33|57|00","124|53|00","어선","29",,,,
"2011-12-04 22:35","목포","영해-EEZ","충돌","운항부주의","황천5급","1","9","0","0","0","신안군 가거도 북서 9마일 해상","34|12|00","124|58|00","어선","39",,,,
"2011-12-04 16:35","제주","영해","기관고장","정비불량","황천5급","1","6","0","0","0","제주북서방 18마일","33|41|00","126|14|00","어선","19",,,,
"2011-12-04 16:20","평택","영해","기관고장","정비불량","양호","1","6","0","0","0","입파도 북동방 2마일","37|07|8","126|34|1","모터보트","1",,,,
"2011-12-04 14:55","평택","영해","기관고장","정비불량","양호","1","0","0","0","0","입파도 북동방 2마일","37|06|39","126|40|45","모터보트","2",,,,
"2011-12-04 06:25","태안","영해","침수","정비불량","양호","1","12","0","0","0","태안군 근흥면 목개도 남서방 1마일 해상","36|39|31","126|08|06","낚시어선","5.78",,,,
"2011-12-03 11:18","목포","영해","기타","운항부주의","풍랑주의보","2","33","0","0","0","전남 신안군 흑산면 가거도 남방 4마일","33|59|80","125|09|70","화물선","33218","어선","39",,
"2011-12-03 11:00","태안","영해","타기고장","정비불량","황천5급","1","9","0","0","0","외연도 서방 3마일 해상","36|11|0","126|00|0","낚시어선","5.21",,,,
"2011-12-02 16:30","부산","항계내","충돌","운항부주의","풍랑주의보","2","23","0","0","0","부산 남외항 N-3묘박지","35|03|80","129|03|10","어선","139","어선","237",,
"2011-12-02 14:00","포항","영해-EEZ","기관고장","재질불량","양호","1","9","0","0","0","오산 동방 97마일","36|55|00","131|26|00","어선","94",,,,
"2011-12-02 13:30","부산","항계내","화재","기타","황천5급","1","4","0","0","0","남부민동 금양제빙 1공장 앞(35-05.65N 129-01.55E)","35|05|65","129|01|55","어선","139",,,,
"2011-12-02 12:00","인천","항계내","기관고장","정비불량","양호","1","4","0","0","0","경인아라뱃길 인천터미널 앞 해상","00|00|00","000|00|00","여객선","59",,,,
"2011-12-02 07:30","목포","항계내","표류","연료고갈","양호","1","5","0","0","0","전남 영광군 홍농읍 계마항 앞 3미터 해상","35|23|00","126|24|00","어선","1.2",,,,
"2011-12-01 17:38","태안","영해","기관고장","정비불량","양호","1","4","0","0","0","병풍도 북서방 1마일 해상","36|39|0","125|43|0","어선","3.57",,,,
"2011-12-01 16:40","인천","영해","침수","운항부주의","양호","1","2","0","0","0","굴업도 서방 7마일","37|11|51","125|38|46","어선","13",,,,
"2011-12-01 16:21","통영","항계내","타기고장","정비불량","양호","1","2","0","0","0","통영시 한산면 용초도 북방 0.2마일해상","34|45|25","128|29|50","어선","3.51",,,,
"2011-11-30 06:07","울산","항계내","화재","관리소홀","황천4급","1","1","0","0","0","부산시 기장군 대변항 내","35|09|00","129|14|00","어선","1.98",,,,
"2011-11-30 01:15","목포","영해","좌초","운항부주의","양호","1","9","0","0","0","전남 신안군 신의면 고사도 남서 1마일","34|33|73","126|08|91","어선","72",,,,
"2011-11-29 19:07","제주","영해-EEZ","충돌","운항부주의","양호","1","12","0","0","0","33-49 N, 125-45E(차귀도 북서방 36마일)","33|49|00","125|45|00","어선","29",,,,
"2011-11-29 18:40","태안","영해","기관고장","정비불량","양호","1","2","0","0","0","가덕도 남동방 8.5마일","36|56|0","125|59|0","어선","20",,,,
"2011-11-29 12:35","목포","영해","기관고장","관리소홀","양호","1","11","0","0","0","전남 신안군 흑산면 가거도 남동 23마일","33|51|00","125|32|00","어선","85",,,,
"2011-11-29 07:26","제주","영해-EEZ","충돌","운항부주의","양호","2","22","0","0","0","33-28 N, 125-05E(차귀도 서방 55마일)","33|28|00","125|05|00","어선","79","어선","15",,
"2011-11-28 16:00","울산","영해-EEZ","기관고장","정비불량","양호","1","6","0","0","0","정자동방 21마일","35|38|00","129|54|00","어선","35",,,,
"2011-11-28 14:25","부산","영해","추진기장애","기타","양호","1","2","0","0","0","해운대 한화콘도 앞 해상","35|09|50","129|08|72","기타","0",,,,
"2011-11-28 14:00","동해","영해","기관고장","기타","양호","1","2","0","0","0","경북 울릉군 울릉읍 사동 대아리조트 앞 500M 해상","00|00|00","000|00|00","기타","8",,,,
"2011-11-28 09:36","통영","영해","기타","운항부주의","양호","2","12","0","0","0","통영 외부지도 서방 약 1.6마일 해상","34|41|89","128|21|58","어선","4.1","유조선","1207",,
"2011-11-28 08:50","평택","영해","기관고장","정비불량","저시정","1","6","2","0","0","울도 남서방 13마일 해상","36|56|00","125|45|00","어선","7.93",,,,
"2011-11-28 08:12","포항","영해-EEZ","추진기장애","운항부주의","양호","1","7","0","0","0","강구 동방 80마일","36|20|00","131|05|00","어선","29",,,,
"2011-11-28 06:45","완도","영해","충돌","기상악화","양호","2","5","1","1","0","강진군 마량면 마량대교 음마동 동방 300m","34|26|46","126|50|27","낚시어선","1.94","기타","0.84",,
"2011-11-28 03:29","통영","영해","표류","기타","양호","1","2","0","0","0","백서 북방 0.5마일 해상","34|37|83","128|01|00","어선","4.99",,,,
"2011-11-27 22:06","서귀포","영해","추진기장애","정비불량","황천5급","1","1","0","0","0","서귀포 남원항 남동 0.74마일","33|16|40","126|44|00","어선","2.9",,,,
"2011-11-27 13:10","통영","항계내","기관고장","기타","양호","1","2","0","0","0","거제시 장승포동 1구 낚시좌대 앞 약 100미터 해상","34|51|83","128|43|77","기타","1.5",,,,
"2011-11-26 07:45","여수","영해","기관고장","운항부주의","양호","1","8","0","0","0","여수시 돌산읍 오복리 앞 해상","34|41|70","127|45|90","낚시어선","2.99",,,,
"2011-11-26 06:32","목포","영해","전복","운항부주의","양호","1","1","0","0","1","전남 신안군 흑산면 만재도 남동방 14마일","33|58|00","125|35|00","어선","7.93",,,,
"2011-11-25 19:35","태안","영해","충돌","운항부주의","양호","2","18","0","0","0","태안군 근흥면 신진도리 신진항 남서방 8.3마일 해상","36|36|0","125|58|0","어선","99.19","어선","24",,
"2011-11-25 17:53","목포","협수로","침수","관리소홀","양호","1","2","0","0","0","전남 신안군 압해도 인근 해상","34|48|00","126|21|00","어선","1.74",,,,
"2011-11-25 15:30","통영","항계내","충돌","운항부주의","양호","2","4","2","0","0","남해군 창선면 지족리 신흥마을 남서방 약 0.25마일","34|50|43","127|58|70","어선","2.99","어선","1.54",,
"2011-11-25 14:20","통영","항계내","좌초","운항부주의","양호","1","1","0","0","0","거제시 사등면 계도마을 서방 약 0.4마일","34|56|96","128|30|36","어선","4.03",,,,
"2011-11-24 20:00","태안","영해","타기고장","정비불량","양호","1","3","0","0","0","정족도 남방 1.8마일 해상","36|37|0","126|08|0","어선","7.93",,,,
"2011-11-24 10:00","통영","항계내","표류","운항부주의","양호","1","2","0","0","0","통영시 매물도 ~ 가왕도 해상","34|41|07","128|35|58","어선","4.99",,,,
"2011-11-24 07:35","여수","영해","침수","관리소홀","양호","1","0","0","0","0","여수시 돌산읍 우두리 용궁횟집 앞 해상","34|47|00","127|43|00","어선","0.57",,,,
"2011-11-22 22:22","목포","영해-EEZ","화재","관리소홀","풍랑주의보","1","16","0","0","0","전남 신안군 흑산면 가거도 남방 10.3마일","34|02|17","124|53|12","화물선","6323",,,,
"2011-11-22 15:30","동해","영해-EEZ","기관고장","기타","풍랑주의보","1","15","0","0","0","묵호 남동 42마일","37|23|00","129|58|00","어선","291",,,,
"2011-11-22 11:10","태안","항계내","충돌","운항부주의","양호","1","1","0","1","0","보령시 대천항 해양경찰 경비정 부두 앞 100미터 해상","0|0|0","0|0|0","어선","1.88",,,,
"2011-11-22 10:11","태안","영해","충돌","운항부주의","양호","2","12","1","0","0","태안군 소원면 모항항 서방 7.8마일 해상","36|46|0","125|57|0","어선","6.64","어선","23",,
"2011-11-22 06:05","속초","항계내","전복","기타","양호","2","3","0","0","0","대진항내","38|29|59","128|25|32","어선","3.38","어선","4.57",,
"2011-11-21 22:51","포항","영해","기관고장","기타","황천5급","1","14","0","0","0","읍천 동방 10마일","35|43|00","129|40|00","어선","29",,,,
"2011-11-20 18:20","부산","영해","기관고장","정비불량","양호","1","4","0","0","0","광안대교 MP26 앞 해상(35-08.50N 129-07.10E)","35 |08|50","129|07|10","모터보트","0",,,,
"2011-11-19 11:19","통영","항계내","좌초","운항부주의","양호","2","3","0","0","0","통영시 구 거제대교 북방 견내랑등표 해상","34|53|10","128|28|39","예부선","21","예부선","311",,
"2011-11-19 01:30","목포","영해","기관고장","관리소홀","양호","1","13","0","0","0","전남 신안군 만재도 남방 9마일","34|03|00","125|31|00","어선","39",,,,
"2011-11-18 21:00","인천","항계내","충돌","운항부주의","저시정","2","29","0","0","0","LNG기지 남방 0.5마일","37|20|50","126|37|00","기타","7435","예부선","111",,
"2011-11-18 17:05","여수","영해","표류","운항부주의","황천5급","1","2","0","0","0","고흥군 나로도 축정항 서방 1.5마알 해상","34|27|34","127|25|52","예부선","45",,,,
"2011-11-18 13:43","태안","영해","타기고장","운항부주의","양호","1","1","0","0","0","삽시도 남동방 3.6마일 해상","36|16|06","126|23|25","어선","4.7",,,,
"2011-11-17 20:08","제주","항계내","충돌","운항부주의","태풍주의보","1","12","0","0","0","33-25N, 126-15-20E(한림항내)","33|25|00","126|15|20","어선","135",,,,
